job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000113,34,0.0034,0.000188826479692552,0,3102,6,1531
J_000114,31,0.0031,0.0001901778962759033,0,1550,5,1550
J_000115,31,0.0031,0.00018606673940644046,0,1562,3,1562
J_000116,33,0.0033,0.00020559329297314426,0,1628,0,1628
J_000117,35,0.0035,0.0002031546338679062,0,1559,4,1559
J_000118,32,0.0032,0.00019058577964168677,0,1559,4,1559
J_000119,33,0.0033,0.00019564883463574122,0,1628,0,1628
J_000120,33,0.0033,0.00018870103932044295,0,3102,1,1571
J_000121,32,0.0032,0.000179515624135314,0,1505,7,1505
J_000122,33,0.0033,0.00019495100195036975,0,1559,4,1559
J_000123,32,0.0032,0.0001875538960800503,0,1562,3,1562
J_000124,33,0.0033,0.0001919968273480332,0,1628,0,1628
J_000125,34,0.0034,0.00020820975323140148,0,1550,5,1550
J_000126,31,0.0031,0.00018339271381606167,0,1562,3,1562
J_000127,30,0.003,0.000212339877621418,0,1565,2,1565
J_000128,32,0.0032,0.00018139489770972945,0,3102,6,1531
J_000129,30,0.003,0.00019011411777070583,0,1628,0,1628
J_000130,31,0.0031,0.0001870299119474548,0,1628,0,1628
J_000131,32,0.0032,0.0001950905022325502,0,1559,4,1559
J_000132,32,0.0032,0.00017667842546295666,0,3102,1,1571
J_000133,33,0.0033,0.00018483321976376317,0,3102,1,1571
J_000134,32,0.0032,0.0001993068893948519,0,1550,5,1550
J_000135,34,0.0034,0.0002215421129399614,0,1565,2,1565
J_000136,32,0.0032,0.00018083318286437401,0,1505,7,1505
J_000137,32,0.0032,0.00018427241159099772,0,3102,1,1571
J_000138,32,0.0032,0.0001839220559040554,0,3102,6,1531
J_000139,32,0.0032,0.00020302356983469157,0,1565,2,1565
J_000140,32,0.0032,0.00017776272826501376,0,1505,7,1505
J_000141,32,0.0032,0.00018873154105588286,0,1562,3,1562
J_000142,31,0.0031,0.00019771095941026906,0,1550,5,1550
J_000143,32,0.0032,0.00017168188268293916,0,1505,7,1505
J_000144,33,0.0033,0.0001796829851416066,0,3102,1,1571
J_000145,32,0.0032,0.00018290351372044034,0,1559,4,1559
J_000146,32,0.0032,0.00019223201423303716,0,1559,4,1559
J_000147,34,0.0034,0.00018720475180673439,0,3102,6,1531
J_000148,31,0.0031,0.00017841567391615697,0,1505,7,1505
J_000149,34,0.0034,0.00018969175286135737,0,1559,4,1559
J_000150,32,0.0032,0.00019308812515681208,0,1628,0,1628
J_000151,34,0.0034,0.00020802878521977412,0,1562,3,1562
J_000152,33,0.0033,0.0001833222878397912,0,3102,1,1571
J_000153,31,0.0031,0.00018000713476078284,0,3102,6,1531
J_000154,34,0.0034,0.00019098033327820412,0,3102,1,1571
J_000155,31,0.0031,0.00020398140060218358,0,1565,2,1565
J_000156,30,0.003,0.0001638205726924865,0,3102,6,1531
J_000157,33,0.0033,0.00017703074070444207,0,1505,7,1505
J_000158,32,0.0032,0.00018586110152663297,0,3102,6,1531
J_000159,31,0.0031,0.00017899914273553097,0,3102,1,1571
J_000160,32,0.0032,0.000184620911902807,0,1559,4,1559
J_000161,30,0.003,0.00018922656550444472,0,1628,0,1628
J_000162,32,0.0032,0.00019284715875738151,0,1550,5,1550
J_000163,30,0.003,0.0001695996315657523,0,1505,7,1505
J_000164,31,0.0031,0.00019007751884375965,0,1559,4,1559
J_000165,30,0.003,0.0001806810552221507,0,3102,6,1531
J_000166,33,0.0033,0.00018354527250468233,0,1505,7,1505
J_000167,32,0.0032,0.00019791987492930898,0,1550,5,1550
J_000168,31,0.0031,0.00017320041935336655,0,1505,7,1505
J_000169,31,0.0031,0.00020075671043304547,0,1565,2,1565
J_000170,31,0.0031,0.00019458440040040495,0,1628,0,1628
J_000171,31,0.0031,0.00018348990392801456,0,3102,1,1571
J_000172,31,0.0031,0.0001969826570378373,0,1628,0,1628
J_000173,32,0.0032,0.00020654999998965455,0,1565,2,1565
J_000174,32,0.0032,0.00017823835864888313,0,3102,6,1531
J_000175,32,0.0032,0.000191220280887484,0,1628,0,1628
J_000176,32,0.0032,0.0001757670032756249,0,1505,7,1505
J_000177,34,0.0034,0.00020930165834953332,0,1550,5,1550
J_000178,31,0.0031,0.00018092284250378137,0,1562,3,1562
J_000179,33,0.0033,0.00018617844641495907,0,1505,7,1505
J_000180,32,0.0032,0.0002011223781209306,0,1562,3,1562
J_000181,32,0.0032,0.0001965625468220662,0,1562,3,1562
J_000182,32,0.0032,0.0001844956549250416,0,3102,1,1571
J_000183,32,0.0032,0.00018458439103344318,0,3102,6,1531
J_000184,32,0.0032,0.00018365175685859309,0,1559,4,1559
J_000185,35,0.0035,0.00019195576046196665,0,3102,1,1571
J_000186,31,0.0031,0.0001852016217372835,0,1562,3,1562
J_000187,34,0.0034,0.00022010166303456855,0,1565,2,1565
J_000188,30,0.003,0.00017376336687596655,0,1505,7,1505
J_000189,33,0.0033,0.00020148424478761526,0,1628,0,1628
J_000190,30,0.003,0.00016556304883108013,0,3102,6,1531
J_000191,31,0.0031,0.0001900711517607346,0,1562,3,1562
J_000192,34,0.0034,0.00021887566496701368,0,1565,2,1565
J_000193,32,0.0032,0.00018955529587011963,0,1505,7,1505
J_000194,30,0.003,0.00018154145317273397,0,1562,3,1562
J_000195,31,0.0031,0.00017604769137794942,0,3102,1,1571
J_000196,31,0.0031,0.00018722499671545333,0,1628,0,1628
J_000197,33,0.0033,0.00020123218215079382,0,1628,0,1628
J_000198,32,0.0032,0.00017233873939277069,0,1505,7,1505
J_000199,32,0.0032,0.000180027111171492,0,3102,6,1531
J_000200,33,0.0033,0.00019132628420432974,0,1505,7,1505
J_000201,32,0.0032,0.00017618110511053418,0,3102,1,1571
J_000202,31,0.0031,0.00018018499042278562,0,3102,6,1531
J_000203,30,0.003,0.00018735405068843732,0,1550,5,1550
J_000204,31,0.0031,0.00019880485400129626,0,1565,2,1565
J_000205,30,0.003,0.0001662964554358856,0,3102,1,1571
J_000206,34,0.0034,0.000192459394368427,0,1562,3,1562
J_000207,32,0.0032,0.00017512617548899414,0,3102,1,1571
J_000208,32,0.0032,0.00019128185453120365,0,1559,4,1559
J_000209,32,0.0032,0.00018622494659897309,0,1562,3,1562
J_000210,32,0.0032,0.00019187681346703717,0,1550,5,1550
J_000211,33,0.0033,0.00020175011657632495,0,1562,3,1562
J_000212,35,0.0035,0.00019040319025464956,0,3102,1,1571
J_000213,30,0.003,0.00017821970891083723,0,1562,3,1562
J_000214,30,0.003,0.00017933096095042804,0,1559,4,1559
J_000215,31,0.0031,0.0001666617843019338,0,1505,7,1505
J_000216,31,0.0031,0.0002013364047256163,0,1565,2,1565
J_000217,34,0.0034,0.00021088062731289292,0,1628,0,1628
J_000218,33,0.0033,0.00019993266336627526,0,1562,3,1562
J_000219,35,0.0035,0.00019595283672449673,0,3102,6,1531
J_000220,31,0.0031,0.00018523591395997794,0,1559,4,1559
J_000221,30,0.003,0.00019377684340896625,0,1550,5,1550
J_000222,34,0.0034,0.0001852469658746014,0,3102,6,1531
